paper_result,experiment_family,configured_value,executed_rto_us,source
Figure 1A,tornado link failure,rto_ratio 1,86.2195,fresh simulator log
Figure 1B,loss reaction,rto_ratio 1,86.2195,fresh simulator log
Figures 2 to 4,protocol diagrams,not applicable,,no timed recovery experiment
Figure 5 and Table I,analytical memory model,not applicable,,no timed recovery experiment
Figure 6A and 6B,PFLD mechanisms,rto_ratio 5,431.098,fresh simulator log
Figure 7A,incast,rto_ratio 2,172.439,fresh simulator log
Figure 7B,tornado,rto_ratio 2,172.439,fresh simulator log
Figure 8,ring all-reduce,rto_ratio 2,172.439,fresh simulator log
Figure 9,ring timeline,rto_ratio 2,172.439,fresh simulator log
Figure 10,all-to-all,rto_ratio 1,86.2195,fresh simulator log
Figure 11,LLaMA 7B,rto_ratio 2,172.439,fresh simulator log
Figure 12,ICON LAMMPS and MILC,rto_ratio 1 on 100 Gb/s topology,93.2237,fresh bundled-source replay
Figure 13A and 13B,sensitivity,rto_ratio 1,86.2195,fresh simulator log
Figure 14A,DPU probe overhead,not applicable,,summary-only hardware plot
Figure 14B,DPU probe FCT,1 second,1000000,paper hardware configuration
Camera Ready New Image 1,Google RPC FCT,rto_ratio 2,172.439,fresh bundled-source replay
Camera Ready New Image 2,Google RPC timeout events,rto_ratio 2,172.439,fresh bundled-source replay
